iso,epochMs,cpuSeconds,cpuPercent,workingSetBytes,privateBytes
2026-08-17T03:11:52.5123178Z,1786936312512,14.516,,76447744,87367680
2026-08-17T03:11:53.6491393Z,1786936313649,14.516,0,76447744,87367680
2026-08-17T03:11:54.6894003Z,1786936314689,14.516,0,76398592,87269376
2026-08-17T03:11:55.6978386Z,1786936315697,14.516,0,76398592,87269376
2026-08-17T03:11:56.7093240Z,1786936316709,14.516,0,76402688,87269376
2026-08-17T03:11:57.7286287Z,1786936317728,14.641,0.61,77447168,87937024
2026-08-17T03:11:58.7394844Z,1786936318739,14.688,0.23,80236544,90583040
2026-08-17T03:11:59.7504028Z,1786936319750,14.75,0.31,81780736,91881472
2026-08-17T03:12:00.7577235Z,1786936320757,14.953,1.01,74616832,84869120
2026-08-17T03:12:01.7808837Z,1786936321780,15.109,0.76,83013632,92725248
2026-08-17T03:12:02.8904228Z,1786936322890,15.266,0.7,81653760,90427392
2026-08-17T03:12:03.9210041Z,1786936323921,15.516,1.21,84086784,92680192
2026-08-17T03:12:04.9386224Z,1786936324938,15.703,0.92,87523328,96649216
2026-08-17T03:12:05.9470320Z,1786936325947,15.938,1.16,76644352,86138880
2026-08-17T03:12:06.9747975Z,1786936326974,16.219,1.37,82456576,91721728
2026-08-17T03:12:07.9904395Z,1786936327990,16.438,1.08,82001920,91045888
2026-08-17T03:12:08.9995648Z,1786936328999,16.859,2.09,85868544,94961664
2026-08-17T03:12:10.0123442Z,1786936330012,17.219,1.77,85991424,95645696
2026-08-17T03:12:11.0276840Z,1786936331027,17.578,1.77,89591808,99176448
2026-08-17T03:12:12.0425713Z,1786936332042,17.922,1.69,77897728,86917120
2026-08-17T03:12:13.0850520Z,1786936333085,18.375,2.17,83877888,92999680
2026-08-17T03:12:14.0995663Z,1786936334099,18.703,1.62,92106752,101265408
2026-08-17T03:12:15.1369585Z,1786936335136,19.312,2.94,87031808,96444416
2026-08-17T03:12:16.1470887Z,1786936336147,19.688,1.86,82366464,92389376
2026-08-17T03:12:17.1628866Z,1786936337162,20.094,2,84783104,93335552
2026-08-17T03:12:18.1749411Z,1786936338174,20.703,3.01,91496448,112132096
2026-08-17T03:12:19.1848645Z,1786936339184,21.156,2.24,104796160,125517824
2026-08-17T03:12:20.1968595Z,1786936340196,21.797,3.17,99442688,120696832
2026-08-17T03:12:21.2127180Z,1786936341212,22.359,2.77,85516288,104988672
2026-08-17T03:12:22.2394575Z,1786936342239,22.906,2.66,102072320,122617856
2026-08-17T03:12:23.2508410Z,1786936343250,23.656,3.71,100499456,119087104
2026-08-17T03:12:24.2637331Z,1786936344263,24.172,2.55,104497152,123338752
2026-08-17T03:12:25.2713872Z,1786936345271,25.109,4.65,102973440,115433472
2026-08-17T03:12:26.2828948Z,1786936346282,25.516,2.01,106151936,116027392
2026-08-17T03:12:27.2958309Z,1786936347295,26.422,4.47,112730112,122736640
2026-08-17T03:12:28.3181566Z,1786936348318,27,2.83,120209408,130326528
2026-08-17T03:12:29.3370251Z,1786936349337,27.828,4.06,123998208,133419008
2026-08-17T03:12:30.3478322Z,1786936350347,28.156,1.62,111362048,121425920
