iso,epochMs,cpuSeconds,cpuPercent,workingSetBytes,privateBytes
2026-08-17T02:46:59.5452538Z,1786934819545,23.578,,71573504,83165184
2026-08-17T02:47:00.6413294Z,1786934820641,23.578,0,71573504,83165184
2026-08-17T02:47:01.6655133Z,1786934821665,23.578,0,71573504,83300352
2026-08-17T02:47:02.6761619Z,1786934822676,23.688,0.54,58019840,66801664
2026-08-17T02:47:03.6889315Z,1786934823688,23.812,0.62,61857792,73199616
2026-08-17T02:47:04.7018277Z,1786934824701,23.875,0.31,62394368,74366976
2026-08-17T02:47:05.7249184Z,1786934825724,23.969,0.46,62496768,76726272
2026-08-17T02:47:06.7441418Z,1786934826744,24.234,1.3,69021696,82194432
2026-08-17T02:47:07.7567085Z,1786934827756,24.406,0.85,67514368,79532032
2026-08-17T02:47:08.7804978Z,1786934828780,24.578,0.84,69509120,80302080
2026-08-17T02:47:09.8041020Z,1786934829804,24.828,1.22,66134016,76398592
2026-08-17T02:47:10.8229894Z,1786934830822,25.172,1.69,69210112,79966208
2026-08-17T02:47:11.8415511Z,1786934831841,25.453,1.38,71634944,83546112
2026-08-17T02:47:12.8568606Z,1786934832856,25.781,1.62,72523776,82771968
2026-08-17T02:47:13.8758431Z,1786934833875,26.094,1.53,77844480,88330240
2026-08-17T02:47:14.8890147Z,1786934834889,26.656,2.78,79536128,96231424
2026-08-17T02:47:15.9067253Z,1786934835906,27.016,1.77,73453568,87752704
2026-08-17T02:47:16.9173828Z,1786934836917,27.484,2.32,77066240,89214976
2026-08-17T02:47:17.9302803Z,1786934837930,27.797,1.54,94339072,106598400
2026-08-17T02:47:18.9503994Z,1786934838950,28.469,3.29,82857984,94892032
2026-08-17T02:47:19.9686653Z,1786934839968,28.859,1.92,76779520,89264128
2026-08-17T02:47:20.9804376Z,1786934840980,29.484,3.09,85348352,97431552
2026-08-17T02:47:22.0014915Z,1786934842001,30.031,2.68,78127104,90103808
2026-08-17T02:47:23.0181030Z,1786934843018,30.609,2.84,86880256,99102720
2026-08-17T02:47:24.0427239Z,1786934844042,31.188,2.82,78606336,89899008
2026-08-17T02:47:25.0635160Z,1786934845063,31.875,3.37,78626816,89608192
2026-08-17T02:47:26.0793221Z,1786934846079,32.359,2.38,83070976,94572544
2026-08-17T02:47:27.0949277Z,1786934847094,33.094,3.62,99692544,111075328
2026-08-17T02:47:28.1072918Z,1786934848107,33.688,2.93,83640320,95748096
2026-08-17T02:47:29.1233697Z,1786934849123,34.422,3.61,85409792,96624640
2026-08-17T02:47:30.1449072Z,1786934850144,35.219,3.9,83271680,94474240
2026-08-17T02:47:31.1724247Z,1786934851172,36.078,4.18,90513408,102068224
2026-08-17T02:47:32.1838597Z,1786934852183,36.703,3.09,100794368,125575168
2026-08-17T02:47:33.2062577Z,1786934853206,37.5,3.9,88801280,111398912
2026-08-17T02:47:34.2256255Z,1786934854225,38.219,3.53,92614656,109961216
2026-08-17T02:47:35.2392803Z,1786934855239,39.047,4.08,129441792,144535552
2026-08-17T02:47:36.2650144Z,1786934856265,39.75,3.43,99131392,114950144
2026-08-17T02:47:37.2826944Z,1786934857282,40.375,3.07,98512896,113029120
2026-08-17T02:47:38.3162079Z,1786934858316,41.453,5.22,107520000,121376768
2026-08-17T02:47:39.3388343Z,1786934859338,42.141,3.36,106225664,120295424
2026-08-17T02:47:40.3657081Z,1786934860365,42.969,4.03,109465600,121024512
2026-08-17T02:47:41.3906194Z,1786934861390,43.594,3.05,109981696,122839040
2026-08-17T02:47:42.4215301Z,1786934862421,44.578,4.77,116928512,129105920
2026-08-17T02:47:43.4369845Z,1786934863436,45.203,3.08,117698560,129363968
2026-08-17T02:47:44.4531204Z,1786934864453,46.094,4.38,122048512,134983680
2026-08-17T02:47:45.4703491Z,1786934865470,46.828,3.61,105082880,117362688
2026-08-17T02:47:46.5040439Z,1786934866504,47.531,3.4,117641216,129572864
2026-08-17T02:47:47.5255779Z,1786934867525,48.312,3.82,100339712,113455104
2026-08-17T02:47:48.5361503Z,1786934868536,49.344,5.1,112955392,125308928
2026-08-17T02:47:49.5598763Z,1786934869559,50.016,3.28,108625920,120881152
2026-08-17T02:47:50.5861115Z,1786934870586,50.672,3.2,107745280,119754752
2026-08-17T02:47:51.6063089Z,1786934871606,51.5,4.06,106270720,118091776
2026-08-17T02:47:52.6301146Z,1786934872630,52.359,4.2,116416512,128077824
2026-08-17T02:47:53.6592727Z,1786934873659,53.109,3.64,118771712,130457600
2026-08-17T02:47:54.6850567Z,1786934874685,53.812,3.43,119590912,131706880
2026-08-17T02:47:55.7036897Z,1786934875703,54.578,3.76,116674560,129650688
2026-08-17T02:47:56.7242403Z,1786934876724,55.469,4.36,110419968,121868288
2026-08-17T02:47:57.7435904Z,1786934877743,56.281,3.99,110235648,123252736
2026-08-17T02:47:58.7592526Z,1786934878759,57.031,3.69,99106816,111042560
2026-08-17T02:47:59.7813597Z,1786934879781,57.688,3.21,127021056,139214848
2026-08-17T02:48:00.8067576Z,1786934880806,58.562,4.27,111034368,122724352
2026-08-17T02:48:01.8581690Z,1786934881858,59.375,3.86,108920832,120872960
2026-08-17T02:48:02.8836183Z,1786934882883,60,3.05,110817280,122929152
2026-08-17T02:48:03.9094800Z,1786934883909,60.797,3.88,113500160,125128704
2026-08-17T02:48:04.9281189Z,1786934884928,61.422,3.07,109207552,120725504
