iso,epochMs,cpuSeconds,cpuPercent,workingSetBytes,privateBytes
2026-08-17T03:05:45.0163958Z,1786935945016,11.766,,75407360,86298624
2026-08-17T03:05:46.1434082Z,1786935946143,11.766,0,75407360,86298624
2026-08-17T03:05:47.1628117Z,1786935947162,11.766,0,75407360,86298624
2026-08-17T03:05:48.1910470Z,1786935948191,11.766,0,75415552,86306816
2026-08-17T03:05:49.2035477Z,1786935949203,11.766,0,75493376,86306816
2026-08-17T03:05:50.2249494Z,1786935950224,11.797,0.15,75440128,86204416
2026-08-17T03:05:51.2494489Z,1786935951249,11.875,0.38,76050432,85471232
2026-08-17T03:05:52.2585069Z,1786935952258,11.922,0.23,73830400,83472384
2026-08-17T03:05:53.2729158Z,1786935953272,12.078,0.77,63516672,72347648
2026-08-17T03:05:54.2875277Z,1786935954287,12.234,0.77,63537152,72228864
2026-08-17T03:05:55.2955366Z,1786935955295,12.344,0.54,68513792,77053952
2026-08-17T03:05:56.3044872Z,1786935956304,12.562,1.08,61857792,69402624
2026-08-17T03:05:57.3160645Z,1786935957316,12.75,0.93,66199552,76689408
2026-08-17T03:05:58.3304163Z,1786935958330,12.969,1.08,68558848,78008320
2026-08-17T03:05:59.3524853Z,1786935959352,13.203,1.15,70688768,81178624
2026-08-17T03:06:00.3754899Z,1786935960375,13.438,1.15,69455872,77721600
2026-08-17T03:06:01.3862045Z,1786935961386,13.609,0.85,67854336,85692416
2026-08-17T03:06:02.4013853Z,1786935962401,13.953,1.69,79351808,91586560
2026-08-17T03:06:03.4295361Z,1786935963429,14.281,1.6,78770176,89620480
2026-08-17T03:06:04.4521850Z,1786935964452,14.484,0.99,81317888,92946432
2026-08-17T03:06:05.4645488Z,1786935965464,14.891,2.01,82763776,93163520
2026-08-17T03:06:06.4753954Z,1786935966475,15.234,1.7,80314368,89587712
2026-08-17T03:06:07.4900793Z,1786935967490,15.641,2,77225984,86142976
2026-08-17T03:06:08.5056341Z,1786935968505,16,1.77,84004864,94076928
2026-08-17T03:06:09.5163647Z,1786935969516,16.391,1.93,81743872,91119616
2026-08-17T03:06:10.5315167Z,1786935970531,16.828,2.15,86147072,95350784
2026-08-17T03:06:11.5409929Z,1786935971540,17.203,1.86,84201472,93683712
2026-08-17T03:06:12.5548307Z,1786935972554,17.672,2.31,78790656,88141824
2026-08-17T03:06:13.5695082Z,1786935973569,17.938,1.31,82845696,91918336
2026-08-17T03:06:14.5853236Z,1786935974585,18.25,1.54,78725120,87179264
2026-08-17T03:06:15.6126591Z,1786935975612,18.688,2.13,79335424,88461312
2026-08-17T03:06:16.6359045Z,1786935976635,19.078,1.91,83968000,93081600
2026-08-17T03:06:17.6597363Z,1786935977659,19.438,1.76,86245376,95264768
2026-08-17T03:06:18.6821792Z,1786935978682,19.656,1.07,85823488,95526912
2026-08-17T03:06:19.6900545Z,1786935979690,20.109,2.25,93024256,102805504
2026-08-17T03:06:20.6996418Z,1786935980699,20.406,1.47,89055232,98295808
2026-08-17T03:06:21.7161584Z,1786935981716,20.688,1.38,84697088,93696000
