iso,epochMs,cpuSeconds,cpuPercent,workingSetBytes,privateBytes
2026-08-17T02:51:25.8340773Z,1786935085834,24.719,,74903552,88301568
2026-08-17T02:51:26.9005059Z,1786935086900,24.719,0,74903552,88301568
2026-08-17T02:51:27.9225506Z,1786935087922,24.719,0,74903552,88301568
2026-08-17T02:51:28.9448115Z,1786935088944,24.734,0.08,74903552,88301568
2026-08-17T02:51:29.9801828Z,1786935089980,25.016,1.36,75059200,87408640
2026-08-17T02:51:30.9954382Z,1786935090995,25.078,0.31,72880128,85286912
2026-08-17T02:51:32.0058332Z,1786935092005,25.328,1.24,73183232,84103168
2026-08-17T02:51:33.0151151Z,1786935093015,25.594,1.32,73375744,85032960
2026-08-17T02:51:34.0311503Z,1786935094031,26.047,2.23,76410880,89165824
2026-08-17T02:51:35.0498998Z,1786935095049,26.359,1.53,78319616,90021888
2026-08-17T02:51:36.0664374Z,1786935096066,26.656,1.46,78352384,89694208
2026-08-17T02:51:37.0890003Z,1786935097089,27.203,2.67,74665984,86368256
2026-08-17T02:51:38.1095474Z,1786935098109,27.797,2.91,83361792,95645696
2026-08-17T02:51:39.1264519Z,1786935099126,28.359,2.77,79187968,89726976
2026-08-17T02:51:40.1369960Z,1786935100136,28.781,2.09,81408000,91992064
2026-08-17T02:51:41.1588133Z,1786935101158,29.5,3.52,81985536,92278784
2026-08-17T02:51:42.1736970Z,1786935102173,30.344,4.16,89182208,100397056
2026-08-17T02:51:43.1952181Z,1786935103195,30.875,2.6,84070400,93773824
2026-08-17T02:51:44.2327513Z,1786935104232,31.672,3.84,83812352,94781440
2026-08-17T02:51:45.2499020Z,1786935105249,32.594,4.53,88150016,98959360
2026-08-17T02:51:46.2707845Z,1786935106270,33.484,4.36,88961024,98418688
2026-08-17T02:51:47.3019672Z,1786935107301,34.281,3.86,86409216,96620544
2026-08-17T02:51:48.3297774Z,1786935108329,35.156,4.26,94142464,104468480
2026-08-17T02:51:49.3567891Z,1786935109356,36.094,4.56,94683136,104845312
2026-08-17T02:51:50.3706181Z,1786935110370,36.938,4.16,83144704,92872704
2026-08-17T02:51:51.3805446Z,1786935111380,37.891,4.72,89149440,99827712
2026-08-17T02:51:52.3953798Z,1786935112395,38.641,3.7,86765568,98193408
2026-08-17T02:51:53.4153714Z,1786935113415,39.719,5.28,92549120,116051968
2026-08-17T02:51:54.4387838Z,1786935114438,40.609,4.35,101810176,118525952
2026-08-17T02:51:55.4512309Z,1786935115451,41.625,5.02,111075328,127582208
2026-08-17T02:51:56.4744596Z,1786935116474,42.344,3.51,110096384,126701568
2026-08-17T02:51:57.4805847Z,1786935117480,43.156,4.04,104689664,119443456
2026-08-17T02:51:58.4921510Z,1786935118492,44.156,4.94,115400704,129945600
2026-08-17T02:51:59.5036551Z,1786935119503,44.75,2.93,108740608,122408960
