iso,epochMs,cpuSeconds,cpuPercent,workingSetBytes,privateBytes
2026-08-17T02:57:20.3010674Z,1786935440301,9.266,,74547200,86552576
2026-08-17T02:57:21.3808289Z,1786935441380,9.266,0,74547200,86552576
2026-08-17T02:57:22.4149187Z,1786935442414,9.266,0,74547200,86552576
2026-08-17T02:57:23.4242929Z,1786935443424,9.359,0.46,58818560,67768320
2026-08-17T02:57:24.4490784Z,1786935444449,9.438,0.38,62066688,75317248
2026-08-17T02:57:25.4544116Z,1786935445454,9.453,0.08,65974272,80556032
2026-08-17T02:57:26.4646781Z,1786935446464,9.5,0.23,67891200,82219008
2026-08-17T02:57:27.4757632Z,1786935447475,9.656,0.77,69808128,81940480
2026-08-17T02:57:28.4833603Z,1786935448483,9.75,0.47,69689344,79941632
2026-08-17T02:57:29.5012517Z,1786935449501,9.906,0.77,70037504,81125376
2026-08-17T02:57:30.5115923Z,1786935450511,10,0.46,67899392,78798848
2026-08-17T02:57:31.5356517Z,1786935451535,10.109,0.53,70893568,80297984
2026-08-17T02:57:32.5558718Z,1786935452555,10.281,0.84,73220096,84205568
2026-08-17T02:57:33.5653146Z,1786935453565,10.422,0.7,75784192,92831744
2026-08-17T02:57:34.5843887Z,1786935454584,10.578,0.77,78884864,93175808
2026-08-17T02:57:35.5900124Z,1786935455590,10.797,1.09,75075584,87326720
2026-08-17T02:57:36.5985077Z,1786935456598,11,1.01,79753216,91525120
2026-08-17T02:57:37.6159376Z,1786935457615,11.203,1,75440128,87834624
2026-08-17T02:57:38.6273899Z,1786935458627,11.391,0.93,82432000,95010816
2026-08-17T02:57:39.6418165Z,1786935459641,11.609,1.08,76210176,87994368
2026-08-17T02:57:40.6609345Z,1786935460660,11.844,1.15,76177408,87941120
2026-08-17T02:57:41.6752884Z,1786935461675,12.156,1.54,85266432,97439744
2026-08-17T02:57:42.6877292Z,1786935462687,12.516,1.77,77926400,88268800
2026-08-17T02:57:43.6994863Z,1786935463699,12.875,1.78,77545472,87785472
2026-08-17T02:57:44.7189064Z,1786935464718,13.312,2.15,80199680,91025408
2026-08-17T02:57:45.7298436Z,1786935465729,13.641,1.62,80375808,91443200
2026-08-17T02:57:46.7445499Z,1786935466744,13.828,0.92,84779008,95526912
2026-08-17T02:57:47.7551953Z,1786935467755,14.047,1.08,82288640,92991488
2026-08-17T02:57:48.7645241Z,1786935468764,14.312,1.32,79994880,89812992
2026-08-17T02:57:49.7736116Z,1786935469773,14.609,1.47,82182144,92000256
2026-08-17T02:57:50.7845767Z,1786935470784,14.781,0.85,82124800,91959296
2026-08-17T02:57:51.7951008Z,1786935471795,15.062,1.39,86343680,97312768
2026-08-17T02:57:52.8101401Z,1786935472810,15.297,1.15,82382848,92233728
2026-08-17T02:57:53.8260306Z,1786935473826,15.594,1.46,82546688,93220864
2026-08-17T02:57:54.8366109Z,1786935474836,15.812,1.08,93401088,119988224
2026-08-17T02:57:55.8488374Z,1786935475848,16.078,1.31,104972288,123064320
2026-08-17T02:57:56.8598889Z,1786935476859,16.219,0.7,104701952,121835520
2026-08-17T02:57:57.8702769Z,1786935477870,16.438,1.08,98181120,114802688
2026-08-17T02:57:58.8760399Z,1786935478876,16.703,1.32,104144896,120799232
2026-08-17T02:57:59.9041548Z,1786935479904,17,1.44,105189376,119660544
2026-08-17T02:58:00.9185714Z,1786935480918,17.281,1.39,102756352,117448704
2026-08-17T02:58:01.9286025Z,1786935481928,17.609,1.62,98172928,112885760
2026-08-17T02:58:02.9373333Z,1786935482937,17.875,1.32,98275328,112627712
2026-08-17T02:58:03.9453604Z,1786935483945,18.141,1.32,96317440,110686208
2026-08-17T02:58:04.9579427Z,1786935484957,18.5,1.77,102125568,115122176
2026-08-17T02:58:05.9679173Z,1786935485967,18.672,0.85,98332672,110706688
2026-08-17T02:58:06.9782984Z,1786935486978,18.938,1.31,97787904,110702592
2026-08-17T02:58:07.9885058Z,1786935487988,19.141,1.01,115003392,128196608
2026-08-17T02:58:08.9969390Z,1786935488996,19.531,1.94,95105024,107409408
2026-08-17T02:58:10.0118626Z,1786935490011,19.766,1.15,97669120,110710784
2026-08-17T02:58:11.0199241Z,1786935491019,19.984,1.09,113094656,126255104
2026-08-17T02:58:12.0311039Z,1786935492031,20.297,1.55,98443264,110837760
2026-08-17T02:58:16.0787764Z,1786935496078,23.203,3.59,105725952,118693888
2026-08-17T02:58:17.3484411Z,1786935497348,24.359,4.55,126459904,139362304
2026-08-17T02:58:18.4236028Z,1786935498423,25.438,5.01,128507904,140939264
2026-08-17T02:58:19.5347446Z,1786935499534,26.438,4.5,108879872,120856576
2026-08-17T03:02:13.3656214Z,1786935733365,27.5,0.02,141930496,154820608
2026-08-17T03:02:14.8507831Z,1786935734850,28,1.68,96169984,106340352
2026-08-17T03:02:15.9780747Z,1786935735978,28,0,96169984,106340352
2026-08-17T03:02:17.0004636Z,1786935737000,28,0,96169984,106340352
